id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,adwords_redirect
PIN-101,PIN-1,Dinosaur Baby Quilt Pattern PDF Dino Dude Quilt As You Go Rail Fence,"*PDF Digital Download* – Start Quilting Today! Quilt Pattern – Dinosaur Themed “Dino Dudes Quilt As You Go Rail Fence” A quick and easy cute Dinosaur quilt pattern for the bed or wall. It is a pdf download upon purchase. Fun for the beginner or experienced quilter.  Measures approximately 48? x 52 ” when completed. This listing is for the pdf quilt pattern only, there is no fabric included",https://creativepursuitsetc.com/product/dino-dude-quilt-as-you-go-rail-fence/,https://creativepursuitsetc.com/wp-content/uploads/2019/01/UNADJUSTEDNONRAW_thumb_e83.jpg,8.95,in stock,new,,,,,,,,,,,,
PIN-102,PIN-2,Baby Girl Quilt Pattern PDF Now I Lay Me Down to Tweep,"*PDF Digital Download* – Start Quilting Today! Baby Girl Quilt Pattern – Owl Themed “Now I Lay Me Down to Tweep” A quick and easy cute baby girl owl quilt pattern for the bed or wall. It is a pdf download upon purchase. Fun for the beginner or experienced quilter. Apprx 49? x 40? when finished This listing is for the pdf quilt pattern only, there is no fabric included",https://creativepursuitsetc.com/product/baby-quilt-pattern-now-i-lay-me-down-to-tweep/,https://creativepursuitsetc.com/wp-content/uploads/2019/01/baby-quilt.jpg,8.95,in stock,new,,,,,,,,,,,,
